Time,u100,v100
2021-01-05 19:00:00,2.26656,-4.65156
2021-01-05 20:00:00,1.65765,-4.3194
2021-01-05 21:00:00,0.74145,-3.65764
2021-01-05 22:00:00,-0.51597,-3.79476
2021-01-05 23:00:00,-0.37175,-3.90463
2021-01-06 00:00:00,-0.95046,-3.24962
2021-01-06 01:00:00,-0.53182,-2.59823
2021-01-06 02:00:00,-0.08562,-1.99194
2021-01-06 03:00:00,0.75077,-1.48761
2021-01-06 04:00:00,1.5765,-1.42446
2021-01-06 05:00:00,1.34807,-1.21515
2021-01-06 06:00:00,0.79788,-0.64946
2021-01-06 07:00:00,1.02098,0.01636
2021-01-06 08:00:00,0.91165,0.3592
2021-01-06 09:00:00,0.25569,0.30146
2021-01-06 10:00:00,-2.74057,0.99977
2021-01-06 11:00:00,-3.55919,1.34712
2021-01-06 12:00:00,-3.78406,1.53568
2021-01-06 13:00:00,-4.49691,1.0539
2021-01-06 14:00:00,-4.74845,-0.2164
2021-01-06 15:00:00,-4.6569,-2.37719
2021-01-06 16:00:00,-5.05154,-3.3642
2021-01-06 17:00:00,-3.99116,-3.2009
2021-01-06 18:00:00,-3.03744,-3.96236
2021-01-06 19:00:00,-4.08094,-3.55817
2021-01-06 20:00:00,-4.72979,-2.87881
2021-01-06 21:00:00,-3.77784,-3.3642
2021-01-06 22:00:00,-1.44821,-4.38549
2021-01-06 23:00:00,-2.73791,-2.42861
2021-01-07 00:00:00,-4.72511,-1.83297
2021-01-07 01:00:00,-4.47368,-0.15396
2021-01-07 02:00:00,-5.05718,-0.38855
2021-01-07 03:00:00,-5.20544,-0.00655
2021-01-07 04:00:00,-2.8905,1.22754
2021-01-07 05:00:00,-0.17153,0.84644
2021-01-07 06:00:00,-1.38102,1.15383
2021-01-07 07:00:00,-0.53481,3.84043
2021-01-07 08:00:00,0.80734,5.87897
2021-01-07 09:00:00,1.51396,6.37602
2021-01-07 10:00:00,10.37056,-0.00385
2021-01-07 11:00:00,16.8602,-5.38423
2021-01-07 12:00:00,19.7994,-11.96814
2021-01-07 13:00:00,18.3194,-11.18616
2021-01-07 14:00:00,15.73048,-8.80068
2021-01-07 15:00:00,14.071,-7.39221
2021-01-07 16:00:00,13.60108,-6.46283
2021-01-07 17:00:00,13.69992,-5.3321
2021-01-07 18:00:00,13.64963,-4.40002
2021-01-07 19:00:00,12.70198,-4.27149
2021-01-07 20:00:00,12.03437,-4.90516
2021-01-07 21:00:00,11.44046,-5.61344
2021-01-07 22:00:00,6.33979,-4.24542
2021-01-07 23:00:00,7.36374,-5.84623
2021-01-08 00:00:00,7.66588,-7.35291
2021-01-08 01:00:00,6.8983,-7.36813
2021-01-08 02:00:00,7.42861,-6.47815
2021-01-08 03:00:00,7.38906,-5.98515
2021-01-08 04:00:00,7.08791,-5.8821
2021-01-08 05:00:00,6.45012,-5.58583
2021-01-08 06:00:00,5.44223,-5.05535
2021-01-08 07:00:00,4.75779,-4.43705
2021-01-08 08:00:00,4.65335,-3.73912
2021-01-08 09:00:00,4.69594,-3.27305
2021-01-08 10:00:00,4.37552,-2.39713
2021-01-08 11:00:00,4.59758,-2.07041
2021-01-08 12:00:00,4.75982,-2.94868
2021-01-08 13:00:00,3.32302,-3.85857
2021-01-08 14:00:00,2.69334,-2.68403
2021-01-08 15:00:00,2.94987,-2.29993
2021-01-08 16:00:00,2.82718,-2.57864
2021-01-08 17:00:00,2.83834,-2.52594
2021-01-08 18:00:00,2.85253,-2.5154
2021-01-08 19:00:00,2.47837,-2.24021
2021-01-08 20:00:00,1.91359,-1.69568
2021-01-08 21:00:00,1.92373,-0.96028
2021-01-08 22:00:00,0.23546,-0.99424
2021-01-08 23:00:00,0.58325,-0.01761
2021-01-09 00:00:00,1.35951,1.61934
2021-01-09 01:00:00,1.82078,1.88114
2021-01-09 02:00:00,3.46326,0.80542
2021-01-09 03:00:00,5.37298,-0.94169
2021-01-09 04:00:00,5.59173,-2.45551
2021-01-09 05:00:00,5.95693,-3.3961
2021-01-09 06:00:00,6.06821,-3.81731
2021-01-09 07:00:00,5.8799,-3.86059
2021-01-09 08:00:00,6.07487,-4.33142
2021-01-09 09:00:00,6.53993,-4.59744
2021-01-09 10:00:00,7.04495,-3.23986
2021-01-09 11:00:00,7.09821,-3.47422
2021-01-09 12:00:00,6.22799,-3.28315
2021-01-09 13:00:00,6.25557,-3.23881
2021-01-09 14:00:00,7.14196,-3.64524
2021-01-09 15:00:00,7.34929,-4.37364
2021-01-09 16:00:00,7.15812,-4.41692
2021-01-09 17:00:00,7.08204,-4.22796
2021-01-09 18:00:00,7.50526,-4.29341
2021-01-09 19:00:00,7.85145,-4.71356
2021-01-09 20:00:00,8.21855,-5.14638
2021-01-09 21:00:00,8.34409,-5.2699
2021-01-09 22:00:00,7.19141,-2.34466
2021-01-09 23:00:00,8.443,-3.89332
2021-01-10 00:00:00,7.99363,-5.42668
2021-01-10 01:00:00,7.68294,-5.5233
2021-01-10 02:00:00,7.88683,-5.39934
2021-01-10 03:00:00,8.17457,-5.24439
2021-01-10 04:00:00,8.48615,-5.16874
2021-01-10 05:00:00,8.5391,-4.99557
2021-01-10 06:00:00,8.08101,-4.56353
2021-01-10 07:00:00,7.73149,-3.99934
2021-01-10 08:00:00,7.71736,-4.05676
2021-01-10 09:00:00,7.76414,-4.07955
2021-01-10 10:00:00,6.21864,-3.33489
2021-01-10 11:00:00,7.06509,-3.4315
2021-01-10 12:00:00,7.31135,-3.60468
2021-01-10 13:00:00,7.63793,-3.79153
2021-01-10 14:00:00,7.83829,-4.50702
2021-01-10 15:00:00,7.51259,-5.06392
2021-01-10 16:00:00,7.13217,-5.74387
2021-01-10 17:00:00,6.63877,-6.00911
2021-01-10 18:00:00,6.16656,-5.94713
2021-01-10 19:00:00,5.9609,-5.63997
2021-01-10 20:00:00,5.74995,-4.9828
2021-01-10 21:00:00,5.56725,-4.41314
2021-01-10 22:00:00,6.57346,-2.86822
2021-01-10 23:00:00,6.61583,-3.35312
2021-01-11 00:00:00,6.6079,-3.74853
2021-01-11 01:00:00,6.49402,-3.34357
2021-01-11 02:00:00,6.55613,-2.10813
2021-01-11 03:00:00,7.04616,-1.67311
2021-01-11 04:00:00,7.28082,-1.89616
2021-01-11 05:00:00,6.84773,-2.02033
2021-01-11 06:00:00,6.23089,-2.18248
2021-01-11 07:00:00,5.26982,-2.16982
2021-01-11 08:00:00,4.97218,-1.88904
2021-01-11 09:00:00,4.35189,-2.1627
2021-01-11 10:00:00,1.88969,-1.79333
2021-01-11 11:00:00,0.80353,-1.07437
2021-01-11 12:00:00,0.02364,0.05746
2021-01-11 13:00:00,-0.75971,1.60929
2021-01-11 14:00:00,-1.86485,2.34249
2021-01-11 15:00:00,-3.19258,2.82812
2021-01-11 16:00:00,-3.51609,3.41183
2021-01-11 17:00:00,-4.27097,3.19986
2021-01-11 18:00:00,-5.24757,2.84394
2021-01-11 19:00:00,-5.73414,2.75773
2021-01-11 20:00:00,-6.08268,2.29898
2021-01-11 21:00:00,-6.37255,2.0008
2021-01-11 22:00:00,-5.89806,0.47112
2021-01-11 23:00:00,-6.80736,0.48536
2021-01-12 00:00:00,-6.40838,1.62234
2021-01-12 01:00:00,-6.40175,1.65526
2021-01-12 02:00:00,-6.19366,2.91873
2021-01-12 03:00:00,-6.2296,3.79202
2021-01-12 04:00:00,-5.5391,5.20071
2021-01-12 05:00:00,-4.02095,6.95117
2021-01-12 06:00:00,-3.18857,7.58241
2021-01-12 07:00:00,-3.3787,7.74119
2021-01-12 08:00:00,-2.98615,8.17106
2021-01-12 09:00:00,-1.83974,8.46345
2021-01-12 10:00:00,-0.52306,6.94148
2021-01-12 11:00:00,-0.98938,5.6025
2021-01-12 12:00:00,-1.58719,4.72243
2021-01-12 13:00:00,-0.75764,5.33238
2021-01-12 14:00:00,0.31499,4.81634
2021-01-12 15:00:00,1.74991,3.27985
2021-01-12 16:00:00,2.75066,1.98541
2021-01-12 17:00:00,3.83937,1.01627
2021-01-12 18:00:00,6.23247,0.10618
2021-01-12 19:00:00,7.93034,-1.42062
2021-01-12 20:00:00,7.13674,-2.31522
2021-01-12 21:00:00,5.95438,-1.73238
2021-01-12 22:00:00,4.09949,-3.67647
2021-01-12 23:00:00,4.00679,-2.36459
2021-01-13 00:00:00,4.17776,-0.53385
2021-01-13 01:00:00,5.30989,0.85351
2021-01-13 02:00:00,5.90746,1.3232
2021-01-13 03:00:00,6.89834,1.44035
2021-01-13 04:00:00,7.52959,0.49338
2021-01-13 05:00:00,8.3499,-0.39717
2021-01-13 06:00:00,8.38249,-1.10008
2021-01-13 07:00:00,7.30143,-1.3257
2021-01-13 08:00:00,6.14214,-0.8853
2021-01-13 09:00:00,4.67211,0.21136
2021-01-13 10:00:00,2.36983,1.26245
2021-01-13 11:00:00,1.07908,3.51759
2021-01-13 12:00:00,2.3242,4.27256
