,ws100_avg,t2_avg
1979,6.448947525604594,7.820158178082238
1980,6.600239275695258,8.404021564207653
1981,6.37195033184976,8.733031938356191
1982,6.297018608261365,9.293744393835595
1983,6.858956076059246,9.682761881278566
1984,6.562395880150222,8.619789216757738
1985,6.381522346823896,7.86471434703202
1986,6.633422740813498,8.283651909817308
1987,6.251786355230214,7.719398687214664
1988,6.917257475866979,9.590403054417095
1989,6.400292849566801,9.887828890410958
1990,6.954713498516862,10.06090994520548
1991,6.458811106510816,8.839574534246594
1992,6.656768221835483,9.847692037796037
1993,6.587273774789484,8.66160322602741
1994,6.718624522923661,9.852912101598179
1995,6.559621635667841,9.348544518264873
1996,6.195363799410503,7.571305722905322
1997,6.306935020813433,9.350225156392753
1998,6.802245131328566,9.491189371004566
1999,6.589886120432497,10.174788519406434
2000,6.73944071235044,10.256701084927158
2001,6.2450909375583885,9.454005977169004
2002,6.418258270341504,9.995458452054834
2003,6.03523441835663,9.531743559360791
2004,6.445652259369499,9.737736220400791
2005,6.379996555976213,9.858451504566176
2006,6.394127292880774,10.414961037671219
2007,6.718648382866274,10.613289696347067
2008,6.741834097768819,10.15223629212204
2009,6.384546891499635,9.873322272831047
2010,6.08795056041559,8.232817478310551
2011,6.604263269961095,10.07987784018269
2012,6.49396931857621,9.589758514344226
2013,6.346807004260233,9.224030643835647
2014,6.426114291326948,11.02339373401827
2015,6.687419876565058,10.20566688698625
2016,6.169892279484574,9.903117364526452
2017,6.438569745030729,10.106102771689564
2018,6.322883708122612,10.805967199771715
